DayOfWeek,Origin_Airport,Scheduled_Departure,Departure_Time,Dep_Delay,Scheduled_Arrival,Arrival_Time,Arrival_Delay,Arr_Del_morethan15,Cancelled,Diverted,Distance,Carrier_Delay,WeatherDelay,NAS_Delay,Security_Delay,Late_Aircraft_Delay,Top_Carriers
6,JFK,1245,1240,23.0,1545,1546,1.0,0,0,0,2475.0,5.0,35.0,,0,0,1
7,JFK,1245,1559,194.0,1545,1900,195.0,1,0,0,2475.0,66.0,11.0,1.0,0,185,1
5,LAX,1130,1410,180.0,2004,20,256.0,1,0,0,2475.0,55.0,12.0,256.0,0,0,1
7,LAX,1130,1153,23.0,2004,2005,1.0,0,0,0,2475.0,7.0,36.0,0.0,0,0,1
1,,1130,1139,9.0,2004,1958,-6.0,0,0,0,2475.0,5.0,15.0,0.0,0,0,1
2,LAX,1130,1151,21.0,2004,2013,9.0,0,0,0,2475.0,5.0,30.0,0.0,0,0,1
3,LAX,1130,1134,4.0,2004,1958,-6.0,0,0,0,2475.0,3.0,29.0,,0,0,1
4,LAX,1130,1128,-2.0,2004,2008,,0,0,0,2475.0,0.0,11.0,0.0,0,0,1
5,LAX,1130,1231,77.0,2004,2200,116.0,1,0,0,2475.0,20.0,24.0,116.0,0,0,1
7,LAX,1130,1207,37.0,2004,2028,24.0,1,0,0,2475.0,15.0,34.0,0.0,0,0,1
1,LAX,1130,1123,-7.0,2004,1935,-29.0,0,0,0,2475.0,0.0,5.0,0.0,0,0,1
2,LAX,1130,1147,17.0,2004,1959,,0,0,0,2475.0,7.0,22.0,0.0,0,0,1
3,LAX,1130,1339,129.0,2004,2204,120.0,1,0,0,2475.0,42.0,12.0,120.0,0,0,1
4,LAX,1130,1632,302.0,2004,48,284.0,1,0,0,2475.0,102.0,33.0,8.0,0,276,1
5,LAX,1130,1129,1103.0,2004,2015,11.0,0,0,0,2475.0,387.0,26.0,0.0,0,0,1
7,LAX,1130,1141,11.0,2004,2016,12.0,0,0,0,2475.0,3.0,36.0,0.0,0,0,1
1,LAX,1130,1212,42.0,2004,2136,92.0,1,0,0,,23.0,0.0,92.0,0,0,1
2,LAX,1130,1127,-3.0,2004,2036,32.0,1,0,0,,3.0,0.0,32.0,0,0,1
3,LAX,1130,1126,-4.0,2004,2008,4.0,0,0,0,2475.0,1.0,18.0,,0,0,1
4,LAX,1130,1156,26.0,2004,2049,,1,0,0,2475.0,8.0,6.0,45.0,0,0,1
5,LAX,1130,1246,13.0,2004,2156,112.0,1,0,0,2475.0,0.0,39.0,36.0,0,0,1
7,LAX,1130,1130,0.0,2004,2008,4.0,0,0,0,2475.0,0.0,11.0,0.0,0,0,1
1,LAX,1130,1235,65.0,2004,2119,75.0,1,0,0,2475.0,20.0,7.0,75.0,0,0,1
2,LAX,1130,1137,,2004,2008,4.0,0,0,0,2475.0,0.0,19.0,0.0,0,0,1
3,LAX,1130,1127,-3.0,2004,2023,19.0,1,0,0,2475.0,0.0,38.0,19.0,0,0,1
4,LAX,1130,1132,2.0,2004,2055,51.0,1,0,0,2475.0,1.0,26.0,51.0,0,0,1
5,LAX,1130,1252,105.0,2004,2133,89.0,1,0,0,2475.0,40.0,22.0,7.0,0,0,1
7,LAX,1130,1437,187.0,2004,2322,198.0,1,0,0,,67.0,0.0,188.0,0,10,1
5,DFW,1110,1108,10.0,1429,1427,-2.0,0,0,0,3784.0,9.0,22.0,0.0,0,0,1
6,DFW,1110,1109,25.0,1429,1453,,1,0,0,3784.0,7.0,38.0,24.0,0,0,1
7,DFW,1110,1325,135.0,1429,1642,133.0,1,0,0,3784.0,49.0,22.0,0.0,0,42,1
1,DFW,1110,1255,105.0,1429,1615,106.0,1,0,0,3784.0,38.0,33.0,1.0,0,0,1
2,DFW,1110,1156,,1429,1550,81.0,1,0,0,3784.0,46.0,16.0,35.0,0,0,1
3,DFW,1110,1105,-5.0,1429,1432,3.0,0,0,0,3784.0,0.0,22.0,0.0,0,0,1
4,DFW,1110,1130,20.0,1429,1457,,1,0,0,3784.0,13.0,35.0,8.0,0,0,1
5,DFW,1110,1108,22.0,1429,1418,-11.0,0,0,0,3784.0,12.0,19.0,0.0,0,0,1
6,DFW,1110,1354,174.0,1429,1659,150.0,1,0,0,3784.0,54.0,34.0,0.0,0,0,1
7,DFW,1110,1116,6.0,1429,1440,11.0,0,0,0,,2.0,0.0,0.0,0,0,1
1,DFW,1110,1109,-1.0,1429,1438,,0,0,0,3784.0,0.0,32.0,0.0,0,0,1
2,DFW,1110,1111,1.0,1429,1442,13.0,0,0,0,3784.0,11.0,19.0,0.0,0,0,1
3,DFW,1110,1103,-7.0,1429,1417,-12.0,0,0,0,,0.0,0.0,0.0,0,0,1
4,DFW,1110,1110,0.0,1429,1429,0.0,0,0,0,3784.0,0.0,37.0,0.0,0,0,1
5,DFW,1110,1715,385.0,1429,2014,345.0,1,0,0,3784.0,137.0,6.0,,0,0,1
6,DFW,1110,1141,53.0,1429,1442,13.0,0,0,0,3784.0,21.0,12.0,0.0,0,0,1
7,DFW,1110,1133,23.0,1429,1431,2.0,0,0,0,3784.0,8.0,37.0,0.0,0,0,1
1,DFW,1110,1114,,1429,1428,-1.0,0,0,0,3784.0,,39.0,,0,0,1
2,,1110,1304,114.0,1429,1602,93.0,1,0,0,3784.0,39.0,22.0,0.0,0,0,1
3,DFW,1110,1239,89.0,1429,1535,,1,0,0,3784.0,36.0,30.0,0.0,0,0,1
4,DFW,1110,1108,-2.0,1429,1425,-4.0,0,0,0,3784.0,0.0,25.0,0.0,0,0,1
5,DFW,1110,1253,115.0,1429,1554,85.0,1,0,0,3784.0,39.0,32.0,0.0,0,0,1
6,DFW,1110,1405,197.0,1429,1727,178.0,1,0,0,3784.0,66.0,24.0,,0,0,1
7,DFW,1110,1107,-3.0,1429,1412,-17.0,0,0,0,3784.0,4.0,24.0,0.0,0,0,1
1,DFW,1110,1336,146.0,1429,1622,113.0,1,0,0,3784.0,53.0,8.0,0.0,0,0,1
2,DFW,1110,1104,-6.0,1429,1406,-23.0,0,0,0,3784.0,0.0,38.0,0.0,0,0,1
3,DFW,1110,1103,-7.0,1429,1348,-41.0,0,0,0,3784.0,0.0,17.0,0.0,0,0,1
4,DFW,1110,1112,2.0,1429,1425,-4.0,0,0,0,3784.0,10.0,35.0,0.0,0,0,1
5,DFW,1110,1108,25.0,1429,1408,-21.0,0,0,0,3784.0,14.0,11.0,0.0,0,0,1
6,DFW,1110,1555,303.0,1429,1903,274.0,1,0,0,,110.0,0.0,0.0,0,0,1
7,DFW,1110,1154,44.0,1429,1505,36.0,1,0,0,3784.0,15.0,21.0,0.0,0,25,1
5,DFW,905,905,11.0,1213,1208,-5.0,0,0,0,3711.0,11.0,16.0,0.0,0,0,1
6,DFW,905,903,15.0,1213,1223,10.0,0,0,0,3711.0,0.0,34.0,0.0,0,0,1
7,DFW,905,903,-2.0,1213,1210,,0,0,0,3711.0,3.0,38.0,0.0,0,0,1
1,DFW,905,948,43.0,1213,1325,72.0,1,0,0,3711.0,13.0,26.0,29.0,0,43,1
2,DFW,905,1146,161.0,1213,1520,187.0,1,0,0,3711.0,55.0,25.0,26.0,0,49,1
3,DFW,905,908,3.0,1213,1250,37.0,1,0,0,3711.0,5.0,13.0,34.0,0,0,1
4,DFW,905,904,,1213,1227,14.0,0,0,0,3711.0,0.0,16.0,0.0,0,0,1
5,DFW,905,1023,89.0,1213,1316,63.0,1,0,0,3711.0,30.0,21.0,0.0,0,0,1
